Station_ID,State,City,Charger_Type,Power_kW,Operator,Installation_Date,Avg_Daily_Sessions,Utilization_Percent,Estimated_Daily_Revenue_INR,Latitude,Longitude
EVCS_00122,Karnataka,Hubli,Fast,60,Govt Utility,18-08-2023,20,47.5,7223,20.466785,70.255878
EVCS_00123,Karnataka,Bengaluru,Slow,120,Ather Grid,24-01-2024,44,43.3,30267,13.929579,93.320214
EVCS_00124,Karnataka,Bengaluru,Fast,30,Tata Power,12-09-2023,78,89.2,17694,30.95996,80.533392
EVCS_00125,Karnataka,Mysuru,Slow,120,ChargeZone,01-10-2022,37,56.3,33561,12.821137,75.368978
EVCS_00126,Karnataka,Hubli,Slow,180,Govt Utility,07-05-2022,18,24.2,19135,13.386016,93.912381
EVCS_00127,Karnataka,Mysuru,Slow,120,Tata Power,06-05-2022,2,32.3,1471,26.535374,78.341987
EVCS_00128,Karnataka,Bengaluru,Slow,15,Govt Utility,26-09-2022,21,86.9,1570,26.802353,90.067497
EVCS_00129,Karnataka,Hubli,Slow,60,Ather Grid,12-03-2023,45,78,19630,14.638326,92.423977
EVCS_00130,Karnataka,Bengaluru,Fast,15,Ather Grid,07-01-2022,14,53.9,1578,27.191907,81.061175
EVCS_00131,Karnataka,Hubli,Fast,30,ChargeZone,02-04-2022,111,65.3,18589,26.477494,94.51529
EVCS_00132,Karnataka,Bengaluru,Slow,30,Jio-bp Pulse,18-05-2022,31,82.4,4995,18.262427,85.166198
EVCS_00133,Karnataka,Mysuru,Slow,15,Statiq,17-10-2022,32,32.2,3503,15.677705,76.584695
EVCS_00134,Karnataka,Bengaluru,Slow,120,Govt Utility,01-02-2023,23,63.9,13560,14.421466,71.752887
EVCS_00135,Karnataka,Bengaluru,Slow,60,Jio-bp Pulse,13-04-2022,3,53.4,1209,10.597211,96.655956
EVCS_00136,Karnataka,Mysuru,Slow,120,Tata Power,02-05-2025,52,80.3,31111,11.797249,86.472826
EVCS_00137,Karnataka,Mysuru,Slow,30,Statiq,14-07-2023,12,89.1,2810,27.528947,83.095323
EVCS_00138,Karnataka,Hubli,Fast,60,Jio-bp Pulse,11-10-2022,29,38,13211,29.165056,75.767699
EVCS_00139,Karnataka,Bengaluru,Slow,60,Jio-bp Pulse,04-12-2022,7,73.1,2184,34.132565,70.454022
EVCS_00140,Karnataka,Hubli,Slow,60,Tata Power,10-02-2025,39,34.4,17679,17.571366,72.834428
EVCS_00141,Karnataka,Bengaluru,Fast,180,Jio-bp Pulse,06-03-2023,116,91.3,159943,34.97957,78.315726
EVCS_00142,Karnataka,Bengaluru,Fast,30,Govt Utility,29-05-2025,45,23.5,7434,19.854078,72.07554
EVCS_00143,Karnataka,Mysuru,Slow,120,Ather Grid,04-02-2023,37,87.6,24232,14.408948,93.593131
EVCS_00144,Karnataka,Mysuru,Fast,120,Statiq,09-09-2022,69,42.5,65852,16.149841,85.420188
EVCS_00145,Karnataka,Hubli,Slow,60,Tata Power,20-01-2024,55,66.2,24704,16.314311,83.652813
EVCS_00146,Karnataka,Hubli,Slow,180,Govt Utility,01-02-2022,58,88.4,77080,25.887582,95.797225
EVCS_00147,Karnataka,Hubli,Slow,180,Statiq,12-01-2023,59,30,74779,29.780489,68.846807
EVCS_00148,Karnataka,Bengaluru,Slow,120,Statiq,07-04-2024,56,86.1,50281,19.085838,87.221182
EVCS_00149,Karnataka,Hubli,Fast,120,Govt Utility,19-07-2024,24,93.4,15902,31.845387,75.043065
EVCS_00150,Karnataka,Mysuru,Slow,180,Govt Utility,24-04-2025,51,34.5,72955,21.220198,92.032467
EVCS_00151,Karnataka,Mysuru,Slow,15,Ather Grid,07-10-2022,5,72.2,594,18.545828,77.106554
EVCS_00152,Karnataka,Hubli,Slow,15,Statiq,27-04-2024,48,57,4843,30.156507,76.951935
EVCS_00153,Karnataka,Mysuru,Fast,60,Tata Power,26-04-2024,17,49,6105,16.271459,80.245633
EVCS_00154,Karnataka,Bengaluru,Slow,120,ChargeZone,15-06-2024,53,57.9,42333,24.025571,90.673719
EVCS_00155,Karnataka,Mysuru,Slow,30,Statiq,12-02-2024,47,44.3,7684,33.041631,79.175209
EVCS_00156,Karnataka,Mysuru,Slow,15,ChargeZone,16-07-2024,11,66.7,1156,9.15099,68.362898
EVCS_00157,Karnataka,Bengaluru,Fast,30,Jio-bp Pulse,29-09-2022,26,73.4,5205,20.059796,73.870419
EVCS_00158,Karnataka,Hubli,Slow,30,Statiq,27-12-2024,53,86.2,11674,20.700625,72.010893
EVCS_00159,Karnataka,Hubli,Slow,15,Tata Power,23-03-2024,48,27.6,3950,10.097582,86.267008
EVCS_00160,Karnataka,Mysuru,Slow,30,Ather Grid,30-11-2023,36,67.3,6103,14.893708,69.206177
EVCS_00161,Karnataka,Hubli,Slow,30,Tata Power,26-05-2025,36,27.2,7330,20.912921,89.552609
EVCS_00162,Karnataka,Hubli,Fast,180,Statiq,16-12-2023,44,95.9,50807,9.091779,82.359511
EVCS_00163,Karnataka,Mysuru,Slow,30,ChargeZone,06-07-2022,21,62.7,4969,26.562064,76.015811
EVCS_00164,Karnataka,Mysuru,Slow,180,Ather Grid,04-04-2022,33,59.7,34528,34.48449,94.389464
EVCS_00165,Karnataka,Hubli,Fast,120,Govt Utility,21-09-2024,112,52.9,70793,33.66418,70.089963
EVCS_00166,Karnataka,Bengaluru,Slow,30,Jio-bp Pulse,06-02-2025,20,23.5,4692,9.672513,87.191103
EVCS_00167,Karnataka,Hubli,Slow,30,Statiq,29-06-2023,20,43.4,3335,30.856915,80.76025
EVCS_00168,Karnataka,Mysuru,Slow,60,Tata Power,03-10-2024,44,92.1,16707,17.673358,86.261708
EVCS_00169,Karnataka,Bengaluru,Fast,120,Statiq,19-07-2024,85,51.5,53048,30.604832,72.803289
EVCS_00170,Karnataka,Bengaluru,Slow,30,Ather Grid,04-03-2024,48,72.4,10464,14.774688,93.519111
EVCS_00171,Karnataka,Hubli,Slow,60,Govt Utility,25-03-2023,49,35.2,20382,30.166142,77.076117
EVCS_00172,Karnataka,Hubli,Fast,180,ChargeZone,20-01-2023,22,23.9,24752,19.464499,92.924378
EVCS_00173,Karnataka,Bengaluru,Slow,60,Jio-bp Pulse,29-09-2022,52,68.7,17986,15.846316,82.298088
EVCS_00174,Karnataka,Bengaluru,Slow,30,Tata Power,10-04-2022,8,59.6,1830,21.261664,95.669559
EVCS_00175,Karnataka,Bengaluru,Fast,120,Statiq,14-12-2023,96,20.6,64828,21.113441,80.944344
EVCS_00176,Karnataka,Bengaluru,Slow,120,Tata Power,23-12-2023,33,48.6,28477,25.501987,94.266725
EVCS_00177,Karnataka,Bengaluru,Slow,15,Statiq,19-10-2023,2,69.8,147,19.973571,85.807586
EVCS_00178,Karnataka,Hubli,Fast,15,Jio-bp Pulse,16-05-2023,99,70.9,7378,21.081383,68.328316
EVCS_00179,Karnataka,Mysuru,Fast,120,Jio-bp Pulse,16-02-2023,23,30.1,15812,19.353654,69.892041
EVCS_00180,Karnataka,Mysuru,Slow,60,Tata Power,13-03-2022,5,91.8,1795,15.812365,84.229837
EVCS_00181,Karnataka,Hubli,Fast,30,Ather Grid,01-05-2022,109,54,24767,25.402669,71.904453
EVCS_00182,Karnataka,Hubli,Slow,60,ChargeZone,02-01-2023,29,65.5,13739,19.832345,87.839022
EVCS_00183,Karnataka,Bengaluru,Fast,30,ChargeZone,04-05-2022,66,83.1,13144,9.602588,90.743008
EVCS_00184,Karnataka,Mysuru,Slow,120,ChargeZone,23-07-2024,6,20.8,3461,15.886715,90.560864
EVCS_00185,Karnataka,Bengaluru,Slow,120,Govt Utility,28-10-2023,11,38.3,9146,19.449014,93.539855
EVCS_00186,Karnataka,Bengaluru,Slow,60,Tata Power,26-12-2023,4,84.8,1744,31.412984,73.685265
EVCS_00187,Karnataka,Mysuru,Slow,180,ChargeZone,30-08-2024,34,44.2,48508,17.796285,78.860803
EVCS_00188,Karnataka,Mysuru,Slow,60,Tata Power,23-02-2024,13,87.8,5396,34.377224,69.825521
EVCS_00189,Karnataka,Hubli,Slow,180,ChargeZone,16-12-2023,48,85.6,44087,15.381906,82.612331
EVCS_00190,Karnataka,Bengaluru,Slow,15,Tata Power,08-01-2022,9,58.3,882,29.139515,78.473174
EVCS_00191,Karnataka,Mysuru,Fast,15,Ather Grid,02-05-2025,63,93.3,7502,20.966489,72.840813
EVCS_00192,Karnataka,Bengaluru,Slow,15,Statiq,04-12-2022,21,76.3,1655,10.705162,86.305447
EVCS_00193,Karnataka,Mysuru,Slow,60,Ather Grid,24-01-2022,9,98,3936,8.458324,74.031366
EVCS_00194,Karnataka,Hubli,Slow,180,ChargeZone,10-05-2025,28,81.4,35251,14.22108,95.483729
EVCS_00195,Karnataka,Mysuru,Slow,60,Jio-bp Pulse,17-07-2023,58,66.7,27838,21.069852,84.48339
EVCS_00196,Karnataka,Bengaluru,Slow,30,Ather Grid,15-08-2024,25,49.3,4065,21.498311,72.710004
EVCS_00197,Karnataka,Bengaluru,Slow,180,Ather Grid,22-07-2022,12,44.7,14113,31.408268,80.900656
EVCS_00198,Karnataka,Hubli,Fast,60,Ather Grid,16-08-2022,106,37.8,50249,16.497541,86.037193
EVCS_00199,Karnataka,Mysuru,Slow,60,Statiq,25-10-2022,37,47.7,12715,32.875569,74.44778
EVCS_00200,Karnataka,Mysuru,Slow,180,ChargeZone,28-11-2022,25,70.8,23328,11.958825,92.115606
EVCS_00201,Karnataka,Mysuru,Slow,30,ChargeZone,23-06-2022,15,67.3,3520,19.657321,90.926019
EVCS_00202,Karnataka,Mysuru,Fast,30,ChargeZone,25-10-2024,59,90.7,13692,14.498068,74.400712
EVCS_00203,Karnataka,Hubli,Fast,30,ChargeZone,12-02-2025,33,75.4,5362,20.942097,71.698617
EVCS_00204,Karnataka,Hubli,Fast,30,Govt Utility,03-06-2023,100,30.1,23194,21.349406,83.973155
EVCS_00205,Karnataka,Bengaluru,Slow,60,Statiq,07-12-2024,28,23.5,8916,33.688432,80.374868
EVCS_00206,Karnataka,Hubli,Fast,120,ChargeZone,02-06-2022,36,28.4,21860,10.420987,78.152639
EVCS_00207,Karnataka,Bengaluru,Slow,15,Tata Power,12-03-2022,23,84,1867,11.602348,79.014143
EVCS_00208,Karnataka,Mysuru,Slow,60,ChargeZone,14-11-2022,30,48.8,12619,34.009337,72.753796
EVCS_00209,Karnataka,Mysuru,Fast,30,Jio-bp Pulse,10-01-2023,60,96.5,9356,26.33557,93.879497
EVCS_00210,Karnataka,Mysuru,Slow,15,Ather Grid,04-01-2025,30,46.9,2877,10.727973,79.518913
EVCS_00211,Karnataka,Bengaluru,Slow,15,ChargeZone,23-01-2025,14,62.8,1323,31.480167,96.448846
EVCS_00212,Karnataka,Bengaluru,Slow,180,Ather Grid,22-07-2023,27,93.6,36327,17.125519,90.997594
EVCS_00213,Karnataka,Hubli,Fast,15,Govt Utility,04-11-2023,19,42.6,2241,11.841624,77.030403
EVCS_00214,Karnataka,Bengaluru,Fast,15,Jio-bp Pulse,02-07-2022,5,78.9,540,15.525377,71.491469
EVCS_00215,Karnataka,Bengaluru,Fast,15,Govt Utility,14-01-2024,98,90.2,9715,27.106427,78.538273
EVCS_00216,Karnataka,Bengaluru,Slow,60,Jio-bp Pulse,28-08-2023,52,41.7,21194,29.375498,80.330729
EVCS_00217,Karnataka,Hubli,Slow,15,ChargeZone,30-04-2022,13,90.7,1291,12.273798,80.399507
EVCS_00218,Karnataka,Bengaluru,Slow,180,Ather Grid,02-02-2023,25,58.4,27218,29.234925,70.049122
EVCS_00219,Karnataka,Hubli,Slow,120,Ather Grid,15-11-2023,11,85.8,6627,13.036232,92.195492
EVCS_00220,Karnataka,Mysuru,Slow,15,Ather Grid,29-05-2025,58,21.7,4409,32.070807,91.011623
EVCS_00221,Karnataka,Hubli,Fast,30,Govt Utility,27-08-2022,5,71,986,19.827326,93.799658
EVCS_00222,Karnataka,Mysuru,Slow,15,Govt Utility,10-03-2022,28,39.1,3322,15.094889,90.534168
EVCS_00223,Karnataka,Mysuru,Fast,60,Govt Utility,06-01-2024,46,58.8,21136,29.672036,69.64473
EVCS_00224,Karnataka,Bengaluru,Fast,15,ChargeZone,12-07-2022,91,35.6,9387,23.801774,78.948147
EVCS_00225,Karnataka,Mysuru,Fast,30,Statiq,22-04-2022,56,74.7,13120,12.448928,71.461288
EVCS_00226,Karnataka,Bengaluru,Fast,180,Ather Grid,15-05-2025,33,84.8,29053,23.178743,79.99518
EVCS_00227,Karnataka,Hubli,Slow,120,Ather Grid,17-01-2024,6,86.6,5020,12.690214,77.725767
EVCS_00228,Karnataka,Mysuru,Fast,15,Jio-bp Pulse,26-09-2024,63,27.3,6443,20.615851,72.904954
EVCS_00229,Karnataka,Bengaluru,Slow,15,Jio-bp Pulse,10-04-2024,11,86.1,975,27.016249,90.637803
EVCS_00230,Karnataka,Mysuru,Fast,60,ChargeZone,03-09-2024,20,75.8,5864,15.633432,69.687267
EVCS_00231,Karnataka,Bengaluru,Slow,30,Jio-bp Pulse,22-02-2024,2,80.1,479,27.520642,90.012633
EVCS_00232,Karnataka,Bengaluru,Slow,30,Ather Grid,10-08-2022,48,43.4,9177,26.917886,68.077938
EVCS_00233,Karnataka,Mysuru,Fast,30,Govt Utility,21-01-2023,52,81.2,10745,19.526013,95.908326
EVCS_00234,Karnataka,Bengaluru,Slow,350,Ather Grid,13-04-2022,36,40.2,67876,20.424261,81.980608
